date,open,high,low,close,volume,dividend,ratio
2018-09-07,229.535,233.896,217.075,217.203,1678260000.0,0.0,1
2018-09-10,197.851,201.883,189.584,197.079,1502960000.0,0.0,1
2018-09-11,198.177,198.506,180.596,185.066,1568900000.0,0.0,1
2018-09-12,185.423,185.587,170.257,183.331,1874850000.0,0.0,1
2018-09-13,183.679,214.002,183.679,211.354,2330720000.0,0.0,1
2018-09-14,212.669,222.794,204.871,211.749,2232190000.0,0.0,1
2018-09-17,221.582,224.261,195.308,197.875,2019910000.0,0.0,1
2018-09-18,197.095,213.357,195.934,209.975,1800640000.0,0.0,1
2018-09-19,209.472,213.871,201.656,209.969,1733330000.0,0.0,1
2018-09-20,210.288,224.818,207.789,224.591,1782070000.0,0.0,1
2018-09-21,225.251,248.388,221.567,246.584,2836200000.0,0.0,1
2018-09-24,244.844,245.108,227.49,228.73,1748740000.0,0.0,1
2018-09-25,228.327,228.327,206.49,218.505,2120360000.0,0.0,1
2018-09-26,218.647,221.437,209.113,215.847,1756100000.0,0.0,1
2018-09-27,215.44,230.607,212.654,228.494,2030320000.0,0.0,1
2018-09-28,229.041,231.748,218.669,222.402,2018120000.0,0.0,1
2018-10-01,233.22,234.145,226.945,230.768,1597500000.0,0.0,1
2018-10-02,231.1,231.167,225.838,227.181,1542080000.0,0.0,1
2018-10-03,226.407,226.458,213.971,220.489,1683930000.0,0.0,1
2018-10-04,220.446,226.148,220.09,222.218,1479500000.0,0.0,1
2018-10-05,222.267,228.319,220.957,227.601,1547330000.0,0.0,1
2018-10-08,226.509,230.765,224.557,229.255,1470740000.0,0.0,1
2018-10-09,229.71,230.161,226.401,227.982,1405130000.0,0.0,1
2018-10-10,227.615,227.707,224.495,225.769,1384040000.0,0.0,1
2018-10-11,225.61,225.61,189.283,189.499,2167620000.0,0.0,1
2018-10-12,188.707,199.401,188.707,196.727,1487900000.0,0.0,1
2018-10-15,195.27,222.118,194.159,209.704,2865830000.0,0.0,1
2018-10-16,209.628,212.173,207.984,210.12,1532280000.0,0.0,1
2018-10-17,210.217,211.125,205.928,207.083,1444130000.0,0.0,1
2018-10-18,207.404,208.47,201.743,203.352,1365860000.0,0.0,1
2018-10-19,203.257,204.663,201.844,203.727,1264480000.0,0.0,1
2018-10-22,205.174,206.932,203.377,204.044,1328980000.0,0.0,1
2018-10-23,204.016,205.151,201.911,204.336,1237490000.0,0.0,1
2018-10-24,204.127,205.581,203.354,203.852,1102220000.0,0.0,1
2018-10-25,203.868,204.132,201.823,202.719,1102900000.0,0.0,1
2018-10-26,202.336,204.78,201.551,203.329,1161310000.0,0.0,1
2018-10-29,205.174,205.597,195.734,197.247,1517230000.0,0.0,1
2018-10-30,197.203,198.122,196.351,197.556,1363500000.0,0.0,1
2018-10-31,197.649,198.338,196.531,197.381,1442380000.0,0.0,1
2018-11-01,197.537,203.754,197.328,198.872,1336700000.0,0.0,1
2018-11-02,198.982,201.269,198.755,200.635,1451870000.0,0.0,1
2018-11-05,207.1,210.819,206.573,209.091,1613510000.0,0.0,1
2018-11-06,209.474,218.452,207.894,218.452,1856940000.0,0.0,1
2018-11-07,218.899,221.652,216.796,217.183,1927830000.0,0.0,1
2018-11-08,217.327,218.338,212.199,212.231,1769080000.0,0.0,1
2018-11-09,211.987,213.316,209.515,210.074,1554750000.0,0.0,1
2018-11-12,211.513,212.623,208.924,210.418,1452380000.0,0.0,1
2018-11-13,210.149,210.515,206.135,206.826,1610260000.0,0.0,1
2018-11-14,206.534,207.045,174.084,181.397,2595330000.0,0.0,1
2018-11-15,181.899,184.251,170.189,180.806,2638410000.0,0.0,1
2018-11-16,180.865,181.35,173.126,175.177,2015330000.0,0.0,1
2018-11-19,177.179,177.179,147.851,149.175,2745160000.0,0.0,1
2018-11-20,148.811,151.253,126.36,130.339,3134410000.0,0.0,1
2018-11-21,131.142,138.89,125.758,136.701,2685930000.0,0.0,1
2018-11-23,126.419,127.028,119.559,123.296,1998010000.0,0.0,1
2018-11-26,116.343,118.201,104.893,108.335,2139490000.0,0.0,1
2018-11-27,107.913,111.842,102.452,110.01,2320010000.0,0.0,1
2018-11-28,110.198,126.048,110.198,122.438,2673470000.0,0.0,1
2018-11-29,122.7215,123.2297,115.2977,117.5426,2196099151.0,0.0,1
